"time/s";"Ewe/V";"Ece/V";"Ewe-Ece/V";"I/mA";"(Q-Qo)/mA.h";"Q charge/mA.h";"Q discharge/mA.h";"cycle number";"Efficiency/%";"|Ewe|/V";"|Ece|/V";"freq/Hz";"Re(Z)/Ohm";"-Im(Z)/Ohm";"|Z|/Ohm";"Phase(Z)/deg"
2070,0001;-2,523696660995483E+000;-2,919866740703583E-001;-2,231709957122803E+000;-1,103130173220094E+001;-2,665770598805004E+000;0,000000000000000E+000;2,665770598805003E+000;0,000000000000000E+000;;;;;;;;
2100,0001;-2,524364471435547E+000;-2,906512022018433E-001;-2,233713150024414E+000;-1,103126849598896E+001;-2,757697833949301E+000;0,000000000000000E+000;2,757697833949301E+000;0,000000000000000E+000;;;;;;;;
2130,0001;-2,523276805877686E+000;-2,877322435379028E-001;-2,235544681549072E+000;-1,103139606884654E+001;-2,849626132200718E+000;0,000000000000000E+000;2,849626132200718E+000;0,000000000000000E+000;;;;;;;;
2160,0001;-2,521120548248291E+000;-2,839547693729401E-001;-2,237165689468384E+000;-1,103128747956971E+001;-2,941553525541517E+000;0,000000000000000E+000;2,941553525541517E+000;0,000000000000000E+000;;;;;;;;
2190,0001;-2,523772954940796E+000;-2,846797406673431E-001;-2,239093303680420E+000;-1,103114952732115E+001;-3,033479769280275E+000;0,000000000000000E+000;3,033479769280274E+000;0,000000000000000E+000;;;;;;;;
2220,0001;-2,525356531143188E+000;-2,844126224517822E-001;-2,240943908691406E+000;-1,103117960748141E+001;-3,125406263687028E+000;0,000000000000000E+000;3,125406263687028E+000;0,000000000000000E+000;;;;;;;;
2250,0001;-2,526406049728394E+000;-2,837449014186859E-001;-2,242661237716675E+000;-1,103114841201808E+001;-3,217332498131593E+000;0,000000000000000E+000;3,217332498131593E+000;0,000000000000000E+000;;;;;;;;
2280,0001;-2,526902198791504E+000;-2,825811207294464E-001;-2,244321107864380E+000;-1,103122087674032E+001;-3,309259336448828E+000;0,000000000000000E+000;3,309259336448828E+000;0,000000000000000E+000;;;;;;;;
2310,0001;-2,527798891067505E+000;-2,815890610218048E-001;-2,246209859848022E+000;-1,103116204116245E+001;-3,401185684469594E+000;0,000000000000000E+000;3,401185684469593E+000;0,000000000000000E+000;;;;;;;;
2340,0001;-2,527837276458740E+000;-2,799101769924164E-001;-2,247927188873291E+000;-1,103127433314985E+001;-3,493112968256897E+000;0,000000000000000E+000;3,493112968256897E+000;0,000000000000000E+000;;;;;;;;
2370,0001;-2,524784088134766E+000;-2,748926281929016E-001;-2,249891519546509E+000;-1,103136842658942E+001;-3,585041036156178E+000;0,000000000000000E+000;3,585041036156177E+000;0,000000000000000E+000;;;;;;;;
2400,0001;-2,529268264770508E+000;-2,774109244346619E-001;-2,251857280731201E+000;-1,103115950709079E+001;-3,676967363059680E+000;0,000000000000000E+000;3,676967363059679E+000;0,000000000000000E+000;;;;;;;;
2430,0001;-2,528486013412476E+000;-2,747209072113037E-001;-2,253765106201172E+000;-1,103111824106801E+001;-3,768893346079667E+000;0,000000000000000E+000;3,768893346079667E+000;0,000000000000000E+000;;;;;;;;
2460,0001;-2,532015800476074E+000;-2,766859531402588E-001;-2,255329847335815E+000;-1,103115045932800E+001;-3,860819597585148E+000;0,000000000000000E+000;3,860819597585148E+000;0,000000000000000E+000;;;;;;;;
2490,0001;-2,532473802566528E+000;-2,752551138401031E-001;-2,257218599319458E+000;-1,103121745699764E+001;-3,952746407404529E+000;0,000000000000000E+000;3,952746407404528E+000;0,000000000000000E+000;;;;;;;;
2520,0001;-2,531767845153809E+000;-2,725269198417664E-001;-2,259240865707397E+000;-1,103100470435759E+001;-4,044671444285287E+000;0,000000000000000E+000;4,044671444285286E+000;0,000000000000000E+000;;;;;;;;
2550,0001;-2,531023740768433E+000;-2,701803147792816E-001;-2,260843515396118E+000;-1,103104741684366E+001;-4,136596837103419E+000;0,000000000000000E+000;4,136596837103419E+000;0,000000000000000E+000;;;;;;;;
